 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.13267658,0.451904762,0.687993528,0.548461538,0.053989071,0.588787879,0.768189179,0.515800982
0.303680297,0.587142857,0.647540453,0.484358974,0.064098361,0.555454545,0.617287449,0.560423918
0.482118959,0.72047619,0.607087379,0.42025641,0.074480874,0.522121212,0.44062201,0.515800982
0.192156134,0.423333333,0.687993528,0.548461538,0.051803279,0.588787879,0.683536989,0.448866577
0.363159851,0.554761905,0.647540453,0.484358974,0.061639344,0.555454545,0.528954729,0.526956716
0.549033457,0.684285714,0.607087379,0.42025641,0.071748634,0.522121212,0.35596982,0.53811245
0.370594796,0.322380952,0.687993528,0.548461538,0.044153005,0.588787879,0.44062201,0.314997769
0.563903346,0.442380952,0.647540453,0.484358974,0.053169399,0.555454545,0.28603975,0.337309237
0.757211896,0.56047619,0.607087379,0.42025641,0.062185792,0.522121212,0.11673537,0.370776439
0.172750929,0.432952381,0.703923948,0.546705128,0.052568306,0.522363636,0.577905778,0.593110219
0.353717472,0.561142857,0.663325243,0.484051282,0.062240437,0.493424242,0.404184763,0.686929942
0.499888476,0.689314286,0.622734628,0.421397436,0.071939891,0.464454545,0.402344498,0.691057564
0.172750929,0.432952381,0.703923948,0.546705128,0.052568306,0.522363636,0.577905778,0.590209728
0.353717472,0.561142857,0.663325243,0.484051282,0.062240437,0.493424242,0.404184763,0.628920125
0.499888476,0.689314286,0.622734628,0.421397436,0.071939891,0.464454545,0.402344498,0.649892905
0.353717472,0.561142857,0.663325243,0.484051282,0.062240437,0.493424242,0.404184763,0.458125837
0.499888476,0.689314286,0.622734628,0.421397436,0.071939891,0.464454545,0.402344498,0.510780901
0.303680297,0.632857143,0.835242718,0.229230769,0.067377049,0.449393939,0.514232609,0.64844266
0.229330855,0.564285714,0.861941748,0.254871795,0.061912568,0.464545455,0.507975709,0.625127175
0.058327138,0.493809524,0.889449838,0.279230769,0.056448087,0.476666667,1.01,0.582846943
0.348289963,0.358571429,0.894304207,0.284358974,0.048251366,0.47969697,0.29340081,0.451097724
0.281375465,0.305238095,0.918576052,0.306153846,0.042786885,0.491818182,0.276838425,0.405359215
